guide	group	tc_id	description
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	B — Login & Session Restore	AUTH-TC-B07	Empty-field + invalid-email inline validation
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	B — Login & Session Restore	AUTH-TC-B08	ACCOUNT_DELETED login branch
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	B — Login & Session Restore	AUTH-TC-B09	PROFILE_NOT_FOUND login branch
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	B — Login & Session Restore	AUTH-TC-B10	Back button returns to previous screen
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	B — Login & Session Restore	AUTH-TC-B11	Sign Up footer link
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	B — Login & Session Restore	AUTH-TC-B12	Log In footer link (Create Account)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	C — Social Login	AUTH-TC-C01	Sign in / Continue with Google
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	C — Social Login	AUTH-TC-C02	Sign in / Continue with Facebook
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	C — Social Login	AUTH-TC-C03	Sign in / Continue with Apple (iOS + Android)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	C — Social Login	AUTH-TC-C04	Existing-email account-link prompt
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	C — Social Login	AUTH-TC-C05	Provider unavailable → email fallback banner
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	C — Social Login	AUTH-TC-C06	User cancels OAuth — silent return
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	C — Social Login	AUTH-TC-C07	Social-only user sets a password
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	D — Logout	AUTH-TC-D01	Logout from Profile with confirmation
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	D — Logout	AUTH-TC-D02	Sign Out from Settings
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	D — Logout	AUTH-TC-D03	After logout, app returns to Landing
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	E — Phone Verification (Deferred Gate)	AUTH-TC-E01	OTP screen sends + verifies 6-digit code
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	E — Phone Verification (Deferred Gate)	AUTH-TC-E02	Incomplete / invalid / expired code errors
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	E — Phone Verification (Deferred Gate)	AUTH-TC-E03	Resend cooldown (60s)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	E — Phone Verification (Deferred Gate)	AUTH-TC-E04	OTP rate limiting message
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	E — Phone Verification (Deferred Gate)	AUTH-TC-E05	Gate blocks first listing until verified
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	F — Node/ZIP Gating & Waitlist (End User)	AUTH-TC-F01	Active ZIP → assigned to node, no waitlist
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	F — Node/ZIP Gating & Waitlist (End User)	AUTH-TC-F02	"Inactive ZIP → ""We're Coming Soon!"" + Join Waitlist"
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	F — Node/ZIP Gating & Waitlist (End User)	AUTH-TC-F03	Waitlist confirmation + fallback node access
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	F — Node/ZIP Gating & Waitlist (End User)	AUTH-TC-F04	Continue Trading without joining waitlist
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	F — Node/ZIP Gating & Waitlist (End User)	AUTH-TC-F05	ZIP auto-lookup shows city/state
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	F — Node/ZIP Gating & Waitlist (End User)	AUTH-TC-F06	Node-scoped content (My Node vs Show All Nodes)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	G — Node Management (Admin)	AUTH-TC-G01	Admin creates an active node (ZIP auto-lookup)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	G — Node Management (Admin)	AUTH-TC-G02	Admin creates an inactive node
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	G — Node Management (Admin)	AUTH-TC-G03	Admin edits a node
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	G — Node Management (Admin)	AUTH-TC-G04	Admin deactivates a node with members (warning)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	G — Node Management (Admin)	AUTH-TC-G05	Admin reactivates a node
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	G — Node Management (Admin)	AUTH-TC-G06	Node stats cards + validation
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	H — Profile Setup & Onboarding	AUTH-TC-H01	Profile Setup: avatar + display name + ZIP
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	H — Profile Setup & Onboarding	AUTH-TC-H02	Profile Setup validation errors
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	H — Profile Setup & Onboarding	AUTH-TC-H03	Avatar upload failure does not block
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	H — Profile Setup & Onboarding	AUTH-TC-H04	~~Welcome screen → Get Started~~ (REMOVED — screen deleted; superseded by H06/H07)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	H — Profile Setup & Onboarding	AUTH-TC-H05	~~Feature Highlights carousel~~ (REMOVED — screen deleted; superseded by H06/H07)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	H — Profile Setup & Onboarding	AUTH-TC-H06	Onboarding carousel: Next / Skip / Get Started
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	H — Profile Setup & Onboarding	AUTH-TC-H07	Onboarding completion routes to Home
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	I — Subscription Choice (Onboarding)	AUTH-TC-I01	~~Start Free Trial enrolls Kids Club+~~ (REMOVED — no in-app trial-choice step; subscription purchase superseded by web-first `JoinKidsClubScreen` path)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	I — Subscription Choice (Onboarding)	AUTH-TC-I02	~~Continue Free stays on free tier~~ (REMOVED — post-Profile-Setup routes to EDU carousel → free-tier Home; no Continue Free step)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	I — Subscription Choice (Onboarding)	AUTH-TC-I03	~~Trial limit reached hides trial CTA~~ (REMOVED — no in-app trial CTA; trial disabled via `admin_config.trial_enabled=false`)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	J — Listing Creation (Single Item)	AUTH-TC-J01	Photo-first gating (fields hidden until 1 photo)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	J — Listing Creation (Single Item)	AUTH-TC-J02	AI auto-fill Apply All + per-field Use
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	J — Listing Creation (Single Item)	AUTH-TC-J03	Required field validation
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	J — Listing Creation (Single Item)	AUTH-TC-J04	Condition / Age Group / Gender / Color options
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	J — Listing Creation (Single Item)	AUTH-TC-J05	"""Other"" category → custom name required"
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	J — Listing Creation (Single Item)	AUTH-TC-J06	Payment preference — subscriber Accept SP toggle
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	J — Listing Creation (Single Item)	AUTH-TC-J07	Payment preference — free user upgrade prompt
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	J — Listing Creation (Single Item)	AUTH-TC-J08	SP earnings preview (subscriber)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	J — Listing Creation (Single Item)	AUTH-TC-J09	Submit for Review → pending + success modal
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	J — Listing Creation (Single Item)	AUTH-TC-J10	Phone-verification gate before publish
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	J — Listing Creation (Single Item)	AUTH-TC-J11	Draft auto-save + resume
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	J — Listing Creation (Single Item)	AUTH-TC-J12	Listing photos — multiple upload, type and size validation
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	J — Listing Creation (Single Item)	AUTH-TC-J13	Listing photos — remove, reorder, replace, and persist after resume
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	J — Listing Creation (Single Item)	AUTH-TC-J14	Bonus category badge appears in picker and preview
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	J — Listing Creation (Single Item)	AUTH-TC-J15	Category-specific SP earn and buyer-cap preview recalculates
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	K — Bulk Listing Creation	AUTH-TC-K01	Multi-photo upload + auto-grouping
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	K — Bulk Listing Creation	AUTH-TC-K02	Regroup / merge / move photos
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	K — Bulk Listing Creation	AUTH-TC-K03	Step indicator: Photos → Group → Review → Publish
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	K — Bulk Listing Creation	AUTH-TC-K04	Apply to All bar (brand/condition/age/gender)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	K — Bulk Listing Creation	AUTH-TC-K05	Submit N Items for Review + confirm sheet
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	K — Bulk Listing Creation	AUTH-TC-K06	Bulk SP summary (subscriber)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	L — Admin Review / Pending	AUTH-TC-L01	New listing not visible in feed until approved
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	L — Admin Review / Pending	AUTH-TC-L02	Admin approves → item becomes visible
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	L — Admin Review / Pending	AUTH-TC-L03	Seller receives approval notification
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	L — Admin Review / Pending	AUTH-TC-L04	Editing an approved listing returns to pending
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	M — Discovery: Search & Filters	AUTH-TC-M01	Search bar (debounced) + clear
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	M — Discovery: Search & Filters	AUTH-TC-M02	Recent searches + autocomplete
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	M — Discovery: Search & Filters	AUTH-TC-M03	Sort options
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	M — Discovery: Search & Filters	AUTH-TC-M04	Filters modal: SP toggle, Location/Category/Age, More Filters, live count
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	M — Discovery: Search & Filters	AUTH-TC-M05	"""Accepts SP"" quick-toggle (header ↔ sheet sync)"
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	M — Discovery: Search & Filters	AUTH-TC-M06	Empty / no-results states
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	M — Discovery: Search & Filters	AUTH-TC-M07	Recent Searches chip row + Clear
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	M — Discovery: Search & Filters	AUTH-TC-M08	Trending in {State} section
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	M — Discovery: Search & Filters	AUTH-TC-M09	Result count + active filter chips (incl. gold SP chip)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	M — Discovery: Search & Filters	AUTH-TC-M10	Discover header: bookmark → Favorites (local header)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	N — Discovery: Category & Favorites	AUTH-TC-N01	Category browse filters results
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	N — Discovery: Category & Favorites	AUTH-TC-N02	Favorite heart toggle on item card
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	N — Discovery: Category & Favorites	AUTH-TC-N03	Infinite scroll pagination
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	N — Discovery: Category & Favorites	AUTH-TC-N04	"""Accepts SP"" badge on item card (gold, §6.7)"
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	O — Discovery: Node Scoping & SP Visibility	AUTH-TC-O01	Results scoped to user's node
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	O — Discovery: Node Scoping & SP Visibility	AUTH-TC-O02	Location ZIP + radius filter
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	O — Discovery: Node Scoping & SP Visibility	AUTH-TC-O03	Inactive ZIP in filter → explicit waitlist opt-in (no auto-enroll)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	O — Discovery: Node Scoping & SP Visibility	AUTH-TC-O04	Subscriber vs free SP visibility
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	O — Discovery: Node Scoping & SP Visibility	AUTH-TC-O05	Admin radius defaults and bounds reflect in Discover
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	P — Global Header, Floating Nav & Home Composer	AUTH-TC-P01	Header node chip shows registered market (read-only)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	P — Global Header, Floating Nav & Home Composer	AUTH-TC-P02	Header right cluster: bell + chat + avatar; logout removed from header
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	P — Global Header, Floating Nav & Home Composer	AUTH-TC-P03	Header chat icon opens Messages with unread badge
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	P — Global Header, Floating Nav & Home Composer	AUTH-TC-P04	Floating pill nav: order, margins, radius, shadow, safe area
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	P — Global Header, Floating Nav & Home Composer	AUTH-TC-P05	Inbox removed from nav; Messages via header chat only
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	P — Global Header, Floating Nav & Home Composer	AUTH-TC-P06	Trades tab: Active Trades (item, counterpart, status label)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	P — Global Header, Floating Nav & Home Composer	AUTH-TC-P07	Trades tab: Trade History (reverse chronological)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	P — Global Header, Floating Nav & Home Composer	AUTH-TC-P08	Trades badge counts active (not completed/cancelled)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	P — Global Header, Floating Nav & Home Composer	AUTH-TC-P09	Basket badge + Home active state unchanged
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	P — Global Header, Floating Nav & Home Composer	AUTH-TC-P10	Post FAB globally visible + opens Sell sheet
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	P — Global Header, Floating Nav & Home Composer	AUTH-TC-P11	Composer bar: tap focuses, type, placeholder
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	P — Global Header, Floating Nav & Home Composer	AUTH-TC-P12	"Composer ""+"" → New Item Photos step, Title pre-filled"
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	P — Global Header, Floating Nav & Home Composer	AUTH-TC-P13	Composer empty submit → empty Title
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	P — Global Header, Floating Nav & Home Composer	AUTH-TC-P14	Composer camera → New Item straight to camera
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	P — Global Header, Floating Nav & Home Composer	AUTH-TC-P15	AI never overwrites composer-pre-filled Title
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	P — Global Header, Floating Nav & Home Composer	AUTH-TC-P16	FAB Sell sheet unchanged (parallel entry point)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	P — Global Header, Floating Nav & Home Composer	AUTH-TC-P17	Logout still reachable from Profile/Settings
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	P — Global Header, Floating Nav & Home Composer	AUTH-TC-P18	Composer analytics (tap + submit with/without text)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	P — Global Header, Floating Nav & Home Composer	AUTH-TC-P19	Accessibility identifiers (Trades tab, header chat)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	Q — Trading Education (End User)	AUTH-TC-Q01	Education Help screen — published sections only
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	Q — Trading Education (End User)	AUTH-TC-Q02	Education Help screen — section by type
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	Q — Trading Education (End User)	AUTH-TC-Q03	SP calculator — sell mode (no hardcoded rates)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	Q — Trading Education (End User)	AUTH-TC-Q04	SP calculator — buy mode (cash + fee + cap)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	Q — Trading Education (End User)	AUTH-TC-Q05	SP calculator — bonus categories + example SP
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	Q — Trading Education (End User)	AUTH-TC-Q06	Education analytics — event tracking (no throw)
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	Q — Trading Education (End User)	AUTH-TC-Q07	Education prompts — onboarding + in-app prompt state machine
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	S — Password Recovery	AUTH-TC-S01	Forgot Password — success + Send Another Email
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	S — Password Recovery	AUTH-TC-S02	Forgot Password — invalid email
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	S — Password Recovery	AUTH-TC-S03	Forgot Password — rate-limit error
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	S — Password Recovery	AUTH-TC-S04	Forgot Password — SMTP-config (500) error
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	S — Password Recovery	AUTH-TC-S05	Forgot Password — 400 error
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	S — Password Recovery	AUTH-TC-S06	Forgot Password — Back to Login
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	S — Password Recovery	AUTH-TC-S07	Reset Password — validation + requirements card
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	S — Password Recovery	AUTH-TC-S08	Reset Password — success → Login
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	S — Password Recovery	AUTH-TC-S09	Reset Password — link-error (expired) → Request New Reset Email
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	S — Password Recovery	AUTH-TC-S10	Reset Password — no active reset session
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	S — Password Recovery	AUTH-TC-S11	Deep link `p2pkidsmarketplace://reset-password`
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	A — Messaging: Conversations & Chat	MSG-TC-A01	Conversation list (search, unread badges, empty state)
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	A — Messaging: Conversations & Chat	MSG-TC-A02	Open a chat thread + trade context banner
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	A — Messaging: Conversations & Chat	MSG-TC-A03	Send a text message + delivery status (sent→delivered→read)
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	A — Messaging: Conversations & Chat	MSG-TC-A04	Receive a message in real time
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	A — Messaging: Conversations & Chat	MSG-TC-A05	Typing indicator
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	A — Messaging: Conversations & Chat	MSG-TC-A06	Send an image message + full-screen viewer
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	A — Messaging: Conversations & Chat	MSG-TC-A07	Message length limit (2000 chars)
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	A — Messaging: Conversations & Chat	MSG-TC-A08	Quick-reply meeting chips
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	A — Messaging: Conversations & Chat	MSG-TC-A09	Safety meeting banner + Learn more
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	A — Messaging: Conversations & Chat	MSG-TC-A10	Photo permission denied error
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	B — Badges & Achievements	MSG-TC-B01	My Badges grid (earned vs locked)
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	B — Badges & Achievements	MSG-TC-B02	Badge detail modal
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	B — Badges & Achievements	MSG-TC-B03	Badge showcase on profile
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	B — Badges & Achievements	MSG-TC-B04	Badge celebration modal on unlock
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	B — Badges & Achievements	MSG-TC-B05	Leaderboard ranking
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	C — Reviews & Ratings	MSG-TC-C01	Submit a post-trade review (stars + comment)
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	C — Reviews & Ratings	MSG-TC-C02	Rating required validation
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	C — Reviews & Ratings	MSG-TC-C03	Anonymous review
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	C — Reviews & Ratings	MSG-TC-C04	Skip review
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	C — Reviews & Ratings	MSG-TC-C05	Review display on seller profile + aggregate rating
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	C — Reviews & Ratings	MSG-TC-C06	Report a review (reviewee only)
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	D — ID Badge Verification (End User)	MSG-TC-D01	Start ID verification + upload from library
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	D — ID Badge Verification (End User)	MSG-TC-D02	Capture ID with camera
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	D — ID Badge Verification (End User)	MSG-TC-D03	Submit creates pending request
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	D — ID Badge Verification (End User)	MSG-TC-D04	Duplicate pending request blocked
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	D — ID Badge Verification (End User)	MSG-TC-D05	No-image submit validation
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	D — ID Badge Verification (End User)	MSG-TC-D06	Pending state screen
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	D — ID Badge Verification (End User)	MSG-TC-D07	Approved → Verified badge on profile
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	D — ID Badge Verification (End User)	MSG-TC-D08	Rejected → reason shown + resubmit
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	D — ID Badge Verification (End User)	MSG-TC-D09	Submission confirmation notifications reach the user
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	D — ID Badge Verification (End User)	MSG-TC-D10	Decision notifications honor channel preferences
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	E — ID Badge Verification (Admin)	MSG-TC-E01	Review queue (stats, filters, search)
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	E — ID Badge Verification (Admin)	MSG-TC-E02	Approve a request
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	E — ID Badge Verification (Admin)	MSG-TC-E03	Reject with reason
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	E — ID Badge Verification (Admin)	MSG-TC-E04	View completed request details
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	E — ID Badge Verification (Admin)	MSG-TC-E05	Edit message templates
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	E — ID Badge Verification (Admin)	MSG-TC-E06	New submission creates admin alert notification
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	F — Referrals	MSG-TC-F01	View referral code + hero
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	F — Referrals	MSG-TC-F02	Copy referral code
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	F — Referrals	MSG-TC-F03	Share referral code (native share)
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	F — Referrals	MSG-TC-F04	Active rewards display
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	F — Referrals	MSG-TC-F05	Referral history (pending vs completed)
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	F — Referrals	MSG-TC-F06	Enter referral code at signup
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	F — Referrals	MSG-TC-F07	Program paused banner + disabled share
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	F — Referrals	MSG-TC-F08	Admin configures referral rewards
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	G — Safety & Compliance (End User)	MSG-TC-G01	Listing flagged → Safety Review screen
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	G — Safety & Compliance (End User)	MSG-TC-G02	Appeal a flagged/rejected listing
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	G — Safety & Compliance (End User)	MSG-TC-G03	"Resubmit a ""needs edits"" listing"
MESSAGING-BADGES-IDVERIFICATION-REFERRALS-SAFETY-NOTIFICATIONS	G — Safety & Compliance (End User)	MSG-TC-G04	Remove a flagged listing
