guide	tc_id	group	description	sub_steps	latest_verdict	latest_date	source_path	still_open	has_pass	finding_note	first_pass_date
ACC	ACC-TC-F01	F — Suspended / Unsubscribe / Offline	Suspended account screen (Contact Support + Log Out, no email)	1	PASS	2026-08-25	e2e-test-results/account-file-groups-a-g-full-closure-2026-08-25/report.md		YES		2026-08-25
ACC	ACC-TC-F02	F — Suspended / Unsubscribe / Offline	Unsubscribe via deep-link token (success/error)	1	BLOCKED	2026-08-25	e2e-test-results/account-file-groups-a-g-full-closure-2026-08-25/report.md	YES	YES	re-opened (env/fixture) — PASS on record 2026-08-25 — **NEW backend defect (root-caused):** `unsubscribe_tokens` empty because `generate_unsubscribe_token` RPC fails — `SET search_path TO 'public','pg_temp'` + `gen_random_bytes(32)` cannot resolve `gen_r	2026-08-25
ACC	ACC-TC-F03	F — Suspended / Unsubscribe / Offline	Offline screen + Try Again	1	PASS	2026-08-25	e2e-test-results/account-file-groups-a-g-full-closure-2026-08-25/report.md		YES		2026-08-25
ACC	ACC-TC-F04	F — Suspended / Unsubscribe / Offline	Suspended account — Log Out tap	1	PASS	2026-08-25	e2e-test-results/account-file-groups-a-g-full-closure-2026-08-25/report.md		YES		2026-08-25
ACC	ACC-TC-G01	G — Home Dashboard	Greeting + subscription badge + SP balance	1	PASS	2026-08-25	e2e-test-results/account-file-groups-a-g-full-closure-2026-08-25/report.md		YES		2026-08-25
ACC	ACC-TC-G02	G — Home Dashboard	Dashboard banners (independent top banners + Action Items list)	1	BLOCKED	2026-08-24	e2e-test-results/account-file-groups-efg-c03-2026-08-24/report.md	YES		BLOCKED, never passed (fixture/config/environment) — Draft leg PASS; grace/payment-fail/trial not inducible; guide ordering ≠ source	
ACC	ACC-TC-G03	G — Home Dashboard	Quick action tiles route correctly	1	PASS	2026-08-24	e2e-test-results/account-file-groups-efg-c03-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-G04	G — Home Dashboard	ID verification CTA banner (none / rejected only)	1	PASS	2026-08-24	e2e-test-results/account-file-groups-efg-c03-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-G05	G — Home Dashboard	Recommendations + recent trade card	1	PASS	2026-08-24	e2e-test-results/account-file-groups-efg-c03-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-G06	G — Home Dashboard	Pull-to-refresh reloads dashboard	1	PASS	2026-08-24	e2e-test-results/account-file-groups-efg-c03-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-G07	G — Home Dashboard	"""Show more actions"" toggle"	1	PASS	2026-08-25	e2e-test-results/account-file-groups-a-g-full-closure-2026-08-25/report.md		YES		2026-08-25
ACC	ACC-TC-G08	G — Home Dashboard	"Free-user ""Unlock Swap Points"" strip"	1	PASS	2026-08-24	e2e-test-results/account-file-groups-efg-c03-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-G09	G — Home Dashboard	"""No session found"" state"	1	BLOCKED	2026-08-24	e2e-test-results/account-file-groups-efg-c03-2026-08-24/report.md	YES		BLOCKED, never passed (fixture/config/environment) — No-session fallback not reachable (auth guard)	
ACC	ACC-TC-G10	G — Home Dashboard	Empty-trade state	1	PASS	2026-08-24	e2e-test-results/account-file-groups-efg-c03-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-G11	G — Home Dashboard	"""View Timeline"" nav"	1	PASS	2026-08-24	e2e-test-results/account-file-groups-efg-c03-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-G12	G — Home Dashboard	"""See All"" → Discover nav"	1	PASS	2026-08-24	e2e-test-results/account-file-groups-efg-c03-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-G13	G — Home Dashboard	Subscription-card Upgrade button	1	PASS	2026-08-24	e2e-test-results/account-file-groups-efg-c03-2026-08-24/report.md		YES		2026-08-24
ACC	ACC-TC-H01	H — Help & Support Menu	Help & Support menu (3 cards) routes (entered from Profile)	1	PASS	2026-08-25	e2e-test-results/account-file-b-h-ikl-2026-08-25/report.md		YES		2026-08-25
ACC	ACC-TC-H02	H — Help & Support Menu	FAQ list — search + category filter	1	PASS	2026-08-25	e2e-test-results/account-file-b-h-ikl-2026-08-25/report.md		YES		2026-08-25
ACC	ACC-TC-H03	H — Help & Support Menu	FAQ fallback when offline	1	BLOCKED	2026-08-25	e2e-test-results/account-file-b-h-ikl-2026-08-25/report.md	YES		BLOCKED, never passed (fixture/config/environment) — Offline gate (F03) intercepts authenticated drops → FAQ fallback not drivable; no fetch-failure toggle (source-verified fallback)	
ACC	ACC-TC-H04	H — Help & Support Menu	FAQ detail — helpful vote (Yes/No)	1	PASS	2026-08-25	e2e-test-results/account-file-b-h-ikl-2026-08-25/report.md		YES		2026-08-25
ACC	ACC-TC-H05	H — Help & Support Menu	Contact Support form (unified flow — logged-in AND logged-out)	1	PASS	2026-08-26	e2e-test-results/account-file-full-closure-b02-b03-h05-h06-h07-s03-l01-l04-2026-08-26/report.md		YES		2026-08-25
ACC	ACC-TC-H06	H — Help & Support Menu	No raw support-email surfaces (cross-screen sweep)	1	PASS	2026-08-26	e2e-test-results/account-file-full-closure-b02-b03-h05-h06-h07-s03-l01-l04-2026-08-26/report.md		YES		2026-08-26
ACC	ACC-TC-H07	H — Help & Support Menu	Contact Support reachable logged-out (Login + Signup entry)	1	PASS	2026-08-26	e2e-test-results/account-file-full-closure-b02-b03-h05-h06-h07-s03-l01-l04-2026-08-26/report.md		YES		2026-08-26
ACC	ACC-TC-I01	I — Education & SP Calculator	Education Help screen sections (accordion + deep link)	1	PASS	2026-08-25	e2e-test-results/account-file-b-h-ikl-2026-08-25/report.md		YES		2026-08-25
ACC	ACC-TC-I02	I — Education & SP Calculator	SP Calculator (free mode) sell/buy outputs	1	PASS	2026-08-25	e2e-test-results/account-file-b-h-ikl-2026-08-25/report.md		YES		2026-08-25
ACC	ACC-TC-I03	I — Education & SP Calculator	SP Calculator bonus category badge	1	PASS	2026-08-25	e2e-test-results/account-file-b-h-ikl-2026-08-25/report.md		YES		2026-08-25
ACC	ACC-TC-I04	I — Education & SP Calculator	SP Calculator validation (price range)	1	PASS	2026-08-25	e2e-test-results/account-file-b-h-ikl-2026-08-25/report.md		YES		2026-08-25
ACC	ACC-TC-I05	I — Education & SP Calculator	Education analytics events fire	1	PASS	2026-08-25	e2e-test-results/account-file-b-h-ikl-2026-08-25/report.md		YES		2026-08-25
ACC	ACC-TC-J01	J — Legal Screens	Terms of Service view + last updated	1	PASS	2026-08-26	e2e-test-results/account-file-j-legal-email-stall-2026-08-26/report.md		YES		2026-08-26
ACC	ACC-TC-J02	J — Legal Screens	TOS acceptance flow (requireAcceptance)	1	FAIL	2026-08-26	e2e-test-results/account-file-j-legal-email-stall-2026-08-26/report.md	YES		FAIL, unresolved — Acceptance-mode (`requireAcceptance=true`) is **unreachable** — no app path passes it; the I Accept / Decline flow is dead code (unit-test-only).	
ACC	ACC-TC-J03	J — Legal Screens	Privacy Policy view + acceptance	1	PASS	2026-08-26	e2e-test-results/account-file-j-legal-email-stall-2026-08-26/report.md		YES		2026-08-26
ACC	ACC-TC-J04	J — Legal Screens	Liability Disclaimer view (read-only + retry)	1	PASS	2026-08-26	e2e-test-results/account-file-j-legal-email-stall-2026-08-26/report.md		YES		2026-08-26
ACC	ACC-TC-J05	J — Legal Screens	Policy versioning — re-acceptance on new version	1	FAIL	2026-08-26	e2e-test-results/account-file-j-legal-email-stall-2026-08-26/report.md	YES		FAIL, unresolved — No re-prompt on new policy version (source+DB proven); draft-invisibility PASS; admin publish leg out of scope (Playwright).	
ACC	ACC-TC-J06	J — Legal Screens	Signup implies TOS + Privacy agreement (no mandatory dialog)	1	PASS	2026-08-26	e2e-test-results/account-file-j-legal-email-stall-2026-08-26/report.md		YES		2026-08-26
ACC	ACC-TC-J07	J — Legal Screens	Legal screen unavailable state (no published policy)	1	BLOCKED	2026-08-26	e2e-test-results/account-file-j-legal-email-stall-2026-08-26/report.md	YES		"BLOCKED, never passed (fixture/config/environment) — Cannot induce ""no published policy"" without admin unpublish; all 3 types published. Source error-path documented."	
ACC	ACC-TC-J08	J — Legal Screens	Legal screen load failure — inline error (Retry only on Liability)	1	BLOCKED	2026-08-26	e2e-test-results/account-file-j-legal-email-stall-2026-08-26/report.md	YES		BLOCKED, never passed (fixture/config/environment) — Cannot induce fetch failure — no QA toggle for policy load failure. Source error+Retry path documented.	
ACC	ACC-TC-J09	J — Legal Screens	Very long policy content renders + scrolls smoothly	1	PASS	2026-08-26	e2e-test-results/account-file-j-legal-email-stall-2026-08-26/report.md		YES		2026-08-26
ACC	ACC-TC-J10	J — Legal Screens	Legal screens render consistently on iOS and Android	1	SKIPPED	2026-08-26	e2e-test-results/account-file-j-legal-email-stall-2026-08-26/report.md				
ACC	ACC-TC-J11	J — Legal Screens	Legal screen loads < 2s and scrolls without lag	1	PASS	2026-08-26	e2e-test-results/account-file-j-legal-email-stall-2026-08-26/report.md		YES		2026-08-26
ACC	ACC-TC-J12	J — Legal Screens	Liability Disclaimer unavailable state	1	BLOCKED	2026-08-26	e2e-test-results/account-file-j-legal-email-stall-2026-08-26/report.md	YES		"BLOCKED, never passed (fixture/config/environment) — Cannot induce ""no published disclaimer"" without admin unpublish; disclaimer published. Source in-screen error+Retry documented."	
ACC	ACC-TC-K01	K — Privacy & Security / MFA 🚫	🚫 NOT IMPLEMENTED — MFA factors list + enrollment (no UI exists)	1	BLOCKED	2026-08-25	e2e-test-results/account-file-b-h-ikl-2026-08-25/report.md	YES		BLOCKED, never passed (fixture/config/environment) — MFA not implemented (no screen/UI); Privacy & Security row = dead TODO onPress (empirically no-op); GoTrue MFA tables exist	
ACC	ACC-TC-K02	K — Privacy & Security / MFA 🚫	🚫 NOT IMPLEMENTED — enroll/verify authenticator factor (no UI)	1	BLOCKED	2026-08-25	e2e-test-results/account-file-b-h-ikl-2026-08-25/report.md	YES		BLOCKED, never passed (fixture/config/environment)	
ACC	ACC-TC-K03	K — Privacy & Security / MFA 🚫	🚫 NOT IMPLEMENTED — MFA challenge on protected action (no UI)	1	BLOCKED	2026-08-25	e2e-test-results/account-file-b-h-ikl-2026-08-25/report.md	YES		BLOCKED, never passed (fixture/config/environment)	
ACC	ACC-TC-K04	K — Privacy & Security / MFA 🚫	🚫 NOT IMPLEMENTED — recovery / remove factor (no UI)	1	BLOCKED	2026-08-25	e2e-test-results/account-file-b-h-ikl-2026-08-25/report.md	YES		BLOCKED, never passed (fixture/config/environment)	
ACC	ACC-TC-L01	L — Error Recovery & Crash Reporting	Render-time error shows fallback instead of red/white screen	1	PASS	2026-08-26	e2e-test-results/account-file-full-closure-b02-b03-h05-h06-h07-s03-l01-l04-2026-08-26/report.md		YES		2026-08-26
ACC	ACC-TC-L02	L — Error Recovery & Crash Reporting	Try Again recovers after transient error	1	BLOCKED	2026-08-25	e2e-test-results/account-file-b-h-ikl-2026-08-25/report.md	YES		BLOCKED, never passed (fixture/config/environment)	
ACC	ACC-TC-L03	L — Error Recovery & Crash Reporting	Persistent error stays contained to fallback	1	BLOCKED	2026-08-25	e2e-test-results/account-file-b-h-ikl-2026-08-25/report.md	YES		BLOCKED, never passed (fixture/config/environment)	
ACC	ACC-TC-L04	L — Error Recovery & Crash Reporting	Error reporting is safe with and without telemetry	1	BLOCKED	2026-08-25	e2e-test-results/account-file-b-h-ikl-2026-08-25/report.md	YES		BLOCKED, never passed (fixture/config/environment)	
ADM	ADM-TC-A01	A — Auth & Dashboard	Admin login with admin role	1							
ADM	ADM-TC-A02	A — Auth & Dashboard	Non-admin login rejected (RBAC gate)	1							
ADM	ADM-TC-A03	A — Auth & Dashboard	Dashboard layout: intro → health strip → Action Center → KPIs (no duplicate nav)	1							
ADM	ADM-TC-A04	A — Auth & Dashboard	Direct protected route access without session redirects to login	1							
ADM	ADM-TC-A05	A — Auth & Dashboard	Expired session redirects once without a loop	1							
ADM	ADM-TC-A06	A — Auth & Dashboard	Dashboard KPI cards follow design-system styling	1							
ADM	ADM-TC-B01	B — User Management	User list, search, status filters, pagination	1							
ADM	ADM-TC-B02	B — User Management	User detail drawer (identity, subscription, SP, trades)	1							
ADM	ADM-TC-B03	B — User Management	Suspend / ban / delete account	1							
ADM	ADM-TC-B04	B — User Management	Credit/debit SP + freeze wallet from user	1							
ADM	ADM-TC-B05	B — User Management	User analytics cards (totals, DAU/MAU)	1							
ADM	ADM-TC-B06	B — User Management	Reset Password action	1							
ADM	ADM-TC-B07	B — User Management	Unsuspend action	1							
ADM	ADM-TC-B08	B — User Management	Sort By / Sort Order	1							
ADM	ADM-TC-C01	C — Listings, Items & Flagged	Listing management — search & analytics tabs	1							
ADM	ADM-TC-C02	C — Listings, Items & Flagged	Flagged items — filter tabs + statuses	1							
ADM	ADM-TC-C03	C — Listings, Items & Flagged	Approve flagged item	1							
ADM	ADM-TC-C04	C — Listings, Items & Flagged	Reject item with required reason	1							
ADM	ADM-TC-C05	C — Listings, Items & Flagged	Item detail view + appeal info	1							
ADM	ADM-TC-C06	C — Listings, Items & Flagged	Force Delete	1							
ADM	ADM-TC-C07	C — Listings, Items & Flagged	Pause	1							
ADM	ADM-TC-C08	C — Listings, Items & Flagged	Approve	1							
ADM	ADM-TC-C09	C — Listings, Items & Flagged	Request Edits	1							
ADM	ADM-TC-C10	C — Listings, Items & Flagged	Reject	1							
ADM	ADM-TC-C11	C — Listings, Items & Flagged	Select-all / selection counter (no bulk execute — flag)	1							
ADM	ADM-TC-C12	C — Listings, Items & Flagged	Individual filter controls	1							
ADM	ADM-TC-D01	D — Categories	Category list, filters (incl. Bonus), search	1							
ADM	ADM-TC-D02	D — Categories	Create / edit category + SP multiplier	1							
ADM	ADM-TC-D03	D — Categories	Activate / deactivate category	1							
ADM	ADM-TC-D04	D — Categories	Category suggestions queue + count badge	1							
ADM	ADM-TC-D05	D — Categories	Icon / badge upload	1							
ADM	ADM-TC-D06	D — Categories	SP spending cap %	1							
ADM	ADM-TC-D07	D — Categories	SP redemption cap	1							
ADM	ADM-TC-D08	D — Categories	Drag-and-drop reorder	1							
ADM	ADM-TC-D09	D — Categories	Bulk actions (Activate / Deactivate / Delete / Export CSV)	1							
ADM	ADM-TC-D10	D — Categories	Delete category + guards	1							
ADM	ADM-TC-D11	D — Categories	Suggestion Approve / Merge / Reject	1							
ADM	ADM-TC-E01	E — Nodes & Waitlist	Geographic nodes list + stats	1							
ADM	ADM-TC-E02	E — Nodes & Waitlist	Add / edit node	1							
ADM	ADM-TC-E03	E — Nodes & Waitlist	Deactivate node with members warning	1							
ADM	ADM-TC-E04	E — Nodes & Waitlist	Node settings (radius validations)	1							
ADM	ADM-TC-E05	E — Nodes & Waitlist	ZIP waitlist queue + status filter	1							
ADM	ADM-TC-E06	E — Nodes & Waitlist	Node tagging completeness (N6) — every record resolves to one node	1							
ADM	ADM-TC-E07	E — Nodes & Waitlist	Per-node KPIs (N6) — expansion-gate metrics per node	1							
ADM	ADM-TC-E08	E — Nodes & Waitlist	Waitlist API authorization (401 without admin session)	1							
ADM	ADM-TC-F01	F — Global Config & Settings	Global configuration inline edit + permission gate	1							
ADM	ADM-TC-F02	F — Global Config & Settings	Cart settings (min value, max carts, expiry)	1							
ADM	ADM-TC-F03	F — Global Config & Settings	Trade timing config (timing keys + nested validation) — incl. consolidated fees	1							
ADM	ADM-TC-F04	F — Global Config & Settings	Settings single-source — cross-link + last-updated + audit	1							
ADM	ADM-TC-F05	F — Global Config & Settings	N1 configurability — pickup countdown + payout buffer (live)	1							
ADM	ADM-TC-F06	F — Global Config & Settings	R2 — 7-day guardrail (hard block) + pickup reminders (live)	1							
ADM	ADM-TC-F07	F — Global Config & Settings	Trade Pipeline visualization — see & track trades in all stages	1							
ADM	ADM-TC-F08	F — Global Config & Settings	R1 tiered buyer-fee fields (live)	1							
ADM	ADM-TC-F09	F — Global Config & Settings	Buyer Fee-Tier Distribution table (moved → /analytics)	1							
ADM	ADM-TC-F10	F — Global Config & Settings	Legacy fee keys (audit-only, read-only — live)	1							
ADM	ADM-TC-F11	F — Global Config & Settings	Reset button	1							
ADM	ADM-TC-G01	G — Policy Management	Policy tabs (TOS/Privacy/Liability) + versions	1							
ADM	ADM-TC-G02	G — Policy Management	Create new policy version (version regex)	1							
ADM	ADM-TC-G03	G — Policy Management	Edit draft policy	1							
ADM	ADM-TC-G04	G — Policy Management	Publish policy (confirmation)	1							
ADM	ADM-TC-H01	H — Trades	Trade list filters + columns	1							
ADM	ADM-TC-H02	H — Trades	Trade detail (info, monetary breakdown, audit)	1							
ADM	ADM-TC-H03	H — Trades	Trade admin actions	1							
ADM	ADM-TC-H04	H — Trades	Subscription Context section	1							
ADM	ADM-TC-H05	H — Trades	External References (Stripe PI/refund + SP ledger IDs)	1							
ADM	ADM-TC-H06	H — Trades	Sales Tax line in monetary breakdown	1							
ADM	ADM-TC-I01	I — Disputes	Dispute queue + SLA highlighting	1							
ADM	ADM-TC-I02	I — Disputes	Mark dispute under review	1							
ADM	ADM-TC-I03	I — Disputes	Resolve dispute — Complete	1							
ADM	ADM-TC-I04	I — Disputes	Resolve dispute — Refund	1							
ADM	ADM-TC-I05	I — Disputes	Filter-tab click behavior (All/Reported/Under Review)	1							
ADM	ADM-TC-J01	J — Tax Admin	Tax admin entry points (no bare /tax — use sub-pages)	1							
ADM	ADM-TC-K01	K — Payouts	Payout fee configuration + test breakdown	1							
ADM	ADM-TC-K02	K — Payouts	Payouts management list, stats, filters	1							
ADM	ADM-TC-K03	K — Payouts	Retry failed payout (confirmation)	1							
ADM	ADM-TC-L01	L — SP Economy / Analytics / Wallet	SP Economy hub tabs (Health/Flow/Rules)	1							
ADM	ADM-TC-L02	L — SP Economy / Analytics / Wallet	SP Analytics dashboard + CSV export	1							
ADM	ADM-TC-L03	L — SP Economy / Analytics / Wallet	SP Wallet admin — economy metrics + search	1							
ADM	ADM-TC-L04	L — SP Economy / Analytics / Wallet	SP adjustment (credit/deduct) with reason	1							
ADM	ADM-TC-L05	L — SP Economy / Analytics / Wallet	Freeze / unfreeze / suspend wallet	1							
ADM	ADM-TC-L06	L — SP Economy / Analytics / Wallet	SP Economy summary metrics — dashboard + /sp-wallet entry (no home card)	1							
ADM	ADM-TC-L07	L — SP Economy / Analytics / Wallet	SP Wallet state RPC — get_user_sp_wallet_summary returns wallet_state	1							
ADM	ADM-TC-L08	L — SP Economy / Analytics / Wallet	SP Wallet warning banners (mobile) — frozen/suspended/grace	1							
ADM	ADM-TC-M01	M — Subscriptions Admin	Grace period config (days + reminders)	1							
ADM	ADM-TC-M02	M — Subscriptions Admin	Subscriptions list, filters, metrics	1							
ADM	ADM-TC-M03	M — Subscriptions Admin	Extend / cancel / reactivate	1							
ADM	ADM-TC-M04	M — Subscriptions Admin	Reactivate button (confirm + mobile reflection)	1							
ADM	ADM-TC-M05	M — Subscriptions Admin	Metrics cards (MRR/churn/trial)	1							
ADM	ADM-TC-M06	M — Subscriptions Admin	"""free"" status filter"	1							
ADM	ADM-TC-N01	N — Referrals Admin	Referral configuration tab	1							
ADM	ADM-TC-N02	N — Referrals Admin	Referral analytics tab	1							
ADM	ADM-TC-N03	N — Referrals Admin	5 SP fields + 3 toggles	1							
ADM	ADM-TC-N04	N — Referrals Admin	"""Missing configuration"" warning"	1							
ADM	ADM-TC-N2	Z — Dashboard Health Strip	Financial audit journal viewable per trade	1							
ADM	ADM-TC-O01	O — ID Badge Verification	ID badge queue + stats + status filter	1							
ADM	ADM-TC-O02	O — ID Badge Verification	Review request — approve	1							
ADM	ADM-TC-O03	O — ID Badge Verification	Review request — reject with reason	1							
ADM	ADM-TC-O04	O — ID Badge Verification	Request details (screenshot deleted note)	1							
ADM	ADM-TC-O05	O — ID Badge Verification	Message templates edit	1							
ADM	ADM-TC-P01	P — Badges & Sandbox	Badge management list + toggle	1							
ADM	ADM-TC-P02	P — Badges & Sandbox	Create/edit/delete badge	1							
ADM	ADM-TC-P03	P — Badges & Sandbox	Manual award badge	1							
ADM	ADM-TC-P04	P — Badges & Sandbox	Badge sandbox event simulation	1							
ADM	ADM-TC-Q01	Q — Review Moderation	Reported reviews list + reason filter	1							
ADM	ADM-TC-Q02	Q — Review Moderation	Hide review (confirmation — copy corrected)	1							
ADM	ADM-TC-Q03	Q — Review Moderation	Approve review (unhide + delete reports — copy corrected)	1							
ADM	ADM-TC-Q04	Q — Review Moderation	Status filter dropdown	1							
ADM	ADM-TC-Q05	Q — Review Moderation	Sort-by dropdown	1							
ADM	ADM-TC-Q06	Q — Review Moderation	Search input	1							
ADM	ADM-TC-R01	R — Education & FAQ CMS	Education sections/examples/analytics	1							
ADM	ADM-TC-R02	R — Education & FAQ CMS	FAQ management (questions/categories/analytics)	1							
ADM	ADM-TC-R03	R — Education & FAQ CMS	Publish FAQ / education content	1							
ADM	ADM-TC-S01	S — Support Messages	Support inbox + unread filter (incl. Guest tickets)	1							
ADM	ADM-TC-S02	S — Support Messages	Support detail + mark as read	1							
ADM	ADM-TC-S03	S — Support Messages	Support reply (stored + emailed to user)	1	SKIPPED	2026-08-26	e2e-test-results/account-file-full-closure-b02-b03-h05-h06-h07-s03-l01-l04-2026-08-26/report.md				
ADM	ADM-TC-T01	T — Analytics	Revenue & Analytics dashboard	1							
ADM	ADM-TC-T02	T — Analytics	Notification analytics (category/type/variant)	1							
ADM	ADM-TC-U01	U — Audit Logs	Audit logs view	1							
ADM	ADM-TC-V01	V — Monitoring & Cron	Monitoring run + alerts (acknowledge/note)	1							
ADM	ADM-TC-V02	V — Monitoring & Cron	Cron jobs status + run history + timezone	1							
ADM	ADM-TC-W01	W — Sidebar Navigation	Sidebar grouped into 7 labeled sections	1							
ADM	ADM-TC-W02	W — Sidebar Navigation	Expand / collapse a section via label + chevron	1							
ADM	ADM-TC-W03	W — Sidebar Navigation	Section state persists per admin across sessions	1							
ADM	ADM-TC-W04	W — Sidebar Navigation	Active route auto-expands its parent section	1							
ADM	ADM-TC-W05	W — Sidebar Navigation	Active/inactive item styling + label typography	1							
ADM	ADM-TC-W06	W — Sidebar Navigation	Collapsed icon rail shows all destinations	1							
ADM	ADM-TC-W07	W — Sidebar Navigation	All previous nav destinations still reachable	1							
ADM	ADM-TC-X01	X — Action Center	Action Center page loads aggregated cards	1							
ADM	ADM-TC-X02	X — Action Center	Same-type items bundled with count	1							
ADM	ADM-TC-X03	X — Action Center	Severity tags (Urgent/Routine)	1							
ADM	ADM-TC-X04	X — Action Center	Expand card drills into item list	1							
ADM	ADM-TC-X05	X — Action Center	Inline approve flagged item	1							
